,id,address,lien,costs,allowance,fees
69,70,"4898 Health Camp Road Cortland, NY 13045",91100.61,,,
70,71,"4 Kent Drive,  Cortland, New York 13045",89171.0,,,3400.0
71,72,"4778Maybury Road, Town of Solon, County ofCortland, State of New York 13101",41491.41,,0.0,
72,73,"17 Bellrose Avenue.  .Cortland, NY 13803",94420.71,2699.71,,5650.0
73,74,"11MCGRAW, NY 13101",,,,
74,75,"601 Sherman Road Cortland, NY 13045",146602.17,,,
75,76,"5112 Telephone Road Cincinnatus, (Town of Taylor) NY 13040",131430.48,2475.0,,5650.0
76,77,"26 Hubbard Street STATE OF NEW YORK, UNITED STATES Cortland, NY 13045",54033.59,,,
77,78,,,,,
78,79,"26 Hubbard Street Cortland, NY 13045",,,,
79,80,16ToS P.O.CdMw Yok 13045,,1930.28,,
80,81,"1961 Maxfield Road Cortland, NY 13045",39825.49,209560.0,,3.0
81,82,"32 Squires Street, City of Cortland, County of Cortland, State of New York 13045",108868.06,,,5650.0
82,83,"2861 Cincinnatus Road Cincinnatus, NY 13040",83762.08,,6.0,5.0
83,84,"3527 Kellogg Road Cortland, NY 13045",65155.92,,0.0,3.0
84,85,"6414STEGER ROAD PREBLE, NY 13141",131249.14,3959.02,,3500.0
85,86,"2 Mill Street   Marathon, NY 13803",72241.07,33.0,,2900.0
86,87,"7679 Highbridge Road Dc Ruyter, NY 13052",98220.47,,,
87,88,"4322 MCCLOY.ROAD CORTLAND,NY 13045",67540.6,,,5.0
88,89,25-28280,50755.74,15.0,,1.0
89,90,"55 Hubbard Street   Cortland, NY 13045",72638.42,2637.06,300.0,5650.0
90,91,"170 Main Street   Cortland, NY 13045",82550.02,1460.0,,5225.0
91,92,"8 East Center Street   McGraw, NY 13101",68649.49,3205.18,,5650.0
92,93,"1465McGrawMarathonRoad,MarathonNY13803",167530.4,,,6350.0
93,94,"215Cortland, New York 13045",174971.62,,0.0,1.0
94,95,"10 LEON AVE.  CORTLAND, NY 13045",121057.77,90.0,,3.0
95,96,"4914 Creal Road   Homer, NY 13077",94940.93,2753.53,,5225.0
