,id,address,lien,costs,fees
70,71,"4 Kent Drive,  Cortland, New York 13045",89171,,3400
71,72,"4778Maybury Road, Town of Solon, County ofCortland, State of New York 13101",41491.41,,
72,73,"17 Bellrose Avenue.  .Cortland, NY 13803",94420.71,2699.71,5650
73,74,"2947 US Rt 11 MCGRAW, NY 13101",82481.28,1951.1,5470
74,75,"601 Sherman Road Cortland, NY 13045",146602.17,,
75,76,"5112 Telephone Road Cincinnatus, (Town of Taylor) NY 13040",131430.48,2475,5650
76,77,"26 Hubbard Street STATE OF NEW YORK, UNITED STATES Cortland, NY 13045",54033.59,,
79,80,16ToS P.O.CdMw Yok 13045,,1930.28,
80,81,"1961 Maxfield Road Cortland, NY 13045",39825.49,209560,
81,82,"32 Squires Street, City of Cortland, County of Cortland, State of New York 13045",108868.06,,5650
82,83,"2861 Cincinnatus Road Cincinnatus, NY 13040",83762.08,,
83,84,"3527 Kellogg Road Cortland, NY 13045",65155.92,,
84,85,"6414STEGER ROAD PREBLE, NY 13141",131249.14,3959.02,3500
85,86,"2 Mill Street   Marathon, NY 13803",72241.07,,2900
86,87,"7679 Highbridge Road Dc Ruyter, NY 13052",98220.47,,
87,88,"4322 MCCLOY.ROAD CORTLAND,NY 13045",67540.6,,
88,89,"15 Water St, Cortland, NJ 13045",50755.74,,
89,90,"55 Hubbard Street   Cortland, NY 13045",72638.42,2637.06,5650
90,91,"170 Main Street   Cortland, NY 13045",82550.02,1460,5225
91,92,"8 East Center Street   McGraw, NY 13101",68649.49,3205.18,5650
92,93,"1465McGrawMarathonRoad,MarathonNY13803",167530.4,,6350
93,94,"215Cortland, New York 13045",174971.62,,
94,95,"10 LEON AVE.  CORTLAND, NY 13045",121057.77,,
95,96,"4914 Creal Road   Homer, NY 13077",94940.93,2753.53,5225
